Kata;Jumlah_Bobot
 dzimmi;0,053009256
 ragam;0,052933849
 biaya;0,052896857
 penuh;0,052760043
 gunung;0,05270864
 kroni;0,052641835
 tenaang;0,052003288
 cina;0,051652818
 otomatis;0,051518549
 nunggu;0,051088898
 swiss;0,050721235
 pedas;0,050511133
 khaldun;0,050330077
 resmi;0,050257111
 kayah;0,050125838
 tani;0,049515902
 harmonisasi;0,049320888
 profesor;0,04924654
 elit;0,049232638
 catat;0,049089975
 sanggup;0,048833824
 tanggung;0,048469868
 entar;0,048354854
 ros;0,048310832
 malak;0,048164587
 bentuk;0,048096294
 jakarta;0,04794684
 sumbat;0,047776558
 halal;0,047623601
 jiah;0,047370295
 libur;0,047281786
 makmur;0,047267266
 ibnu;0,046854828
 teriak;0,0468503
 tau;0,046759404
 transaksi;0,046723194
 kapal;0,046656031
 alas;0,046541733
 kesah;0,046408897
 nambah;0,046394763
 mentang;0,046325774
 sumber;0,046307178
 siksa;0,046276215
 luhut;0,045937656
 tajam;0,045888003
 mutar;0,045762689
 bener;0,045755967
 masalah;0,045711984
 konsisten;0,04568283
 bank;0,045517289
 gitu;0,045504237
 pasu;0,045300147
 konyol;0,045047193
 super;0,045016127
 kilas;0,044935312
 alias;0,04490134
 trik;0,044799361
 tanggap;0,044758516
 lapang;0,044497916
 kasihan;0,044487773
 dasar;0,044439274
 lahir;0,044416767
 mewah;0,044189254
 heran;0,04413457
 jarak;0,044086811
 ambil;0,044084296
 buruk;0,04405375
 ppkm;0,04396418
 politik;0,043890075
 alaikumussalam;0,043816565
 berkah;0,043625072
 tunggak;0,04355366
 bandung;0,043432482
 dosa;0,043355277
 jelas;0,043305711
 yudhistira;0,042967035
 cabut;0,042899852
 kelas;0,042891441
 duliu;0,042835229
 sorot;0,042479474
 nyata;0,04246346
 said;0,042200569
 apes;0,041877544
 haven;0,041628414
 mw;0,04154065
 konten;0,04145937
 naikin;0,041234977
 skema;0,040896489
 kismin;0,040594377
 palak;0,040551329
 nyimpen;0,040447868
 yawlah;0,040371082
 pajakmemerasrakyat;0,040330055
 skandal;0,04014122
 jeniius;0,040134179
 nak;0,040125313
 kah;0,040058248
 perkosa;0,039778624
 mah;0,039538066
 mati;0,03944708
 bukanberitabiasa;0,039382398
 tagar;0,039192034
 ppn;0,039005451
 jugaa;0,038989906
 otak;0,038893196
 apagunanya;0,038879307
 batubara;0,038818813
 minggu;0,038811052
 boong;0,038659647
 putih;0,038571091
 demokrat;0,038548002
 ampuunn;0,038540536
 tambang;0,038527446
 mesti;0,038320432
 langkah;0,038242351
 tapiboong;0,03779782
 astaghfirullohalafziim;0,037786376
 pasti;0,037743633
 dalih;0,037587824
 jago;0,037522488
 balut;0,037520665
 manja;0,037354123
 nggk;0,037323578
 manusia;0,037260187
 bidang;0,037100698
 bodo;0,036966267
 emang;0,036830706
 mempan;0,036787605
 ktp;0,036732065
 sindonews;0,036661361
 tempo;0,036588046
 kayak;0,036572579
 ber;0,036557847
 dukung;0,036554934
 kaget;0,036417498
 iya;0,036380622
 pengemplanng;0,036346253
 risiko;0,036256212
 dah;0,036074716
 tuju;0,036057456
 piye;0,036031746
 ni;0,035965679
 banyakin;0,035760602
 celios;0,035652542
 wa;0,035643722
 lucu;0,035620896
 pejabrutnya;0,035441353
 bongkarpandorapapers;0,035215114
 hahaha;0,035171608
 laku;0,035052568
 tidur;0,035040853
 ketua;0,034961328
 cokin;0,034916663
 sembunyi;0,034544978
 revenue;0,034419936
 law;0,034242049
 blbi;0,03413454
 berita;0,034101755
 waras;0,033945011
 main;0,033842601
 hmm;0,033832447
 liat;0,033780302
 evaluasi;0,033657023
 izin;0,033487015
 bolos;0,03345169
 penghianat;0,03335311
 judul;0,033340995
 malaikat;0,033333739
 joko;0,033293699
 basi;0,033222903
 widodo;0,033118885
 ribet;0,032880178
 mukidi;0,032868507
 budak;0,032797688
 untung;0,032773228
 panjang;0,032723141
 munafik;0,032611293
 legal;0,032588324
 lolos;0,032498572
 aje;0,032339042
 lu;0,032289683
 males;0,032289607
 omnibus;0,032166296
 kek;0,032140819
 udah;0,032056592
 korup;0,032037477
 lampau;0,03196599
 tim;0,03193184
 utak;0,031874605
 kas;0,031711429
 kritis;0,031692366
 terima;0,031619505
 klepon;0,031488252
 news;0,031487909
 perhati;0,031452874
 diumpetin;0,031352506
 in;0,031234927
 tsb;0,031170964
 mampu;0,031150019
 nkri;0,030985404
 senang;0,030914692
 uganda;0,030907278
 sampe;0,030905905
 kolaps;0,030883935
 oposisi;0,030882119
 jawa;0,030859162
 tull;0,030817941
 hiii;0,030780247
 gampang;0,030771806
 persib;0,030737552
 gua;0,030556781
 bohongin;0,030532795
 bareng;0,030493316
 dipalakin;0,030186368
 legislator;0,030069859
 berani;0,029986604
 wow;0,029853816
 riba;0,029825458
 simak;0,029705394
 cuba;0,029690205
 tepatin;0,029558022
 berat;0,029394144
 hindar;0,02927014
 plus;0,0292317
 atik;0,029227223
 potensial;0,029222609
 receh;0,029168874
 mungut;0,029131201
 konglo;0,029129279
 setor;0,029080742
 muncul;0,029071511
 ruwet;0,029048791
 mabok;0,02902078
 kecuali;0,028923874
 cuan;0,028684863
 fasilitas;0,028641279
 maksa;0,028260818
 investor;0,028151302
 dewe;0,028103663
 nakuti;0,02799853
 ambyar;0,027996882
 numpuk;0,027837228
 sukarela;0,027644757
 lihat;0,027638
 pltu;0,027574022
 anis;0,027558758
 nakut;0,027325694
 aktif;0,027315251
 btw;0,02716085
 sabar;0,027096149
 preman;0,026962259
 mana;0,026859462
 plongo;0,026742234
 ironi;0,026739881
 melarat;0,026615951
 kondisi;0,026560407
 penjara;0,026532113
 air;0,026512753
 pati;0,026465459
 pemerin;0,026428892
 bela;0,026403141
 barang;0,02634199
 emis;0,026313304
 keblangsak;0,026248852
 pintar;0,026014502
 menzolimi;0,025981419
 pangeran;0,025976005
 kerap;0,025962426
 kaum;0,025737382
 kasus;0,025700905
 bayarin;0,025688057
 dua;0,025596007
 jeng;0,025369672
 lantas;0,025342394
 kepala;0,0252593
 nambahin;0,025254909
 upeti;0,025243471
 foto;0,025229476
 tukang;0,0252256
 ngejar;0,025076267
 lesat;0,025065344
 alhamdulillah;0,025001893
 sebut;0,024927709
 nanggung;0,024919135
 timbul;0,024895832
 bak;0,024849611
 kurang;0,024768133
 lieur;0,024668996
 kapitalis;0,024663141
 motor;0,024653429
 ramai;0,024637743
 subsidi;0,024490368
 kelola;0,024359434
 linglung;0,024331236
 dap;0,024236097
 nyapres;0,024233891
 emg;0,024230778
 grassroot;0,024182283
 penting;0,024166448
 islam;0,024160276
 pil;0,024154779
 cuman;0,024144855
 sasar;0,024141605
 potong;0,024113234
 ungkap;0,024085199
 kuras;0,024071483
 perlahan;0,024054531
 nganggur;0,023845083
 opung;0,023809699
 lini;0,023733535
 persepsi;0,023704778
 segi;0,023698971
 tunjang;0,023669837
 rakyet;0,02352764
 indikasi;0,023483812
 fpks;0,023324587
 hitam;0,023321688
 gin;0,023292066
 drastis;0,02325844
 tenang;0,02307848
 nasib;0,023056649
 ha;0,022994484
 aksi;0,02298936
 biadab;0,022968624
 lambung;0,022940115
 ide;0,022862971
 dapat;0,022807837
 kuak;0,022772825
 listrik;0,022756471
 modus;0,02261761
 percumah;0,022615962
 poco;0,022475109
 jual;0,022432206
 periksa;0,02241922
 patut;0,022357894
 jepit;0,022245306
 gedein;0,022221705
 sungguh;0,022175311
 menteri;0,022129266
 butut;0,022080167
 susul;0,022066869
 lbp;0,021984935
 sok;0,021960335
 bingung;0,021941373
 zakat;0,021911286
 titip;0,021856305
 nasional;0,021826643
 surga;0,021771723
 meng;0,021740976
 musuh;0,021731453
 henti;0,021679742
 ku;0,021538091
 agresif;0,021516302
 planga;0,021490485
 fix;0,021447726
 muslimah;0,02135747
 basmi;0,021325225
 muslim;0,021268261
 sadar;0,021240421
 modal;0,021214868
 target;0,021074487
 anjim;0,02107442
 kontradiktif;0,020954251
 xx;0,02095289
 asa;0,020896511
 langit;0,020877883
 calo;0,020866261
 seminar;0,020863751
 hoeeek;0,020775989
 didu;0,020760526
 ebt;0,020738605
 ruuhpp;0,020717087
 emen;0,020707509
 ariel;0,020652967
 ajak;0,020613299
 deh;0,020581817
 redzim;0,020569094
 curang;0,020564949
 komunis;0,02054429
 goblok;0,020538193
 bahas;0,020505251
 tka;0,020458122
 tententu;0,020380392
 om;0,020229569
 balik;0,020177379
 thread;0,020070027
 adab;0,020056196
 bong;0,02003925
 eropa;0,020020965
 ngomong;0,019996431
 ama;0,019979149
 kasi;0,019954055
 seprti;0,019837989
 bersih;0,019780528
 konfirmasi;0,019777136
 pulak;0,019766867
 tingkat;0,019764092
 shanon;0,019677802
 miliader;0,019651481
 taat;0,019608376
 istilah;0,019590332
 apa;0,019568514
 si;0,019547226
 exploitation;0,019466392
 wakanda;0,019414991
 enggan;0,019409153
 pesimis;0,019338065
 eeeh;0,019326519
 tuntas;0,019273974
 bangsat;0,019236606
 mafia;0,019234944
 tu;0,019006909
 be;0,018972135
 bullshit;0,018956195
 kan;0,018940183
 kerjasama;0,018813544
 sial;0,018774033
 malesan;0,018689412
 pikir;0,018646706
 efektif;0,018613085
 imbal;0,018574376
 gabisa;0,018572193
 kabur;0,018541165
 like;0,018515168
 risol;0,018457221
 sekolah;0,018330499
 jurus;0,018326826
 ilegal;0,018294152
 pandorapapers;0,018214412
 ngeluh;0,018213817
 seru;0,018169062
 bebal;0,01815696
 juni;0,018147144
 lokasi;0,018144603
 kepentingn;0,018007481
 jujur;0,017926913
 kritisi;0,01790656
 tekateki;0,017905736
 buzzerrp;0,017817035
 islami;0,017806985
 segar;0,017806841
 pa;0,017746668
 max;0,017734655
 pahit;0,017669074
 bangsa;0,017633718
 ngotot;0,017604745
 amanah;0,017556463
 gilir;0,017536796
 eksekusi;0,017525114
 oligharki;0,017513174
 hoax;0,017506844
 puas;0,017480205
 yayasan;0,017355347
 balig;0,01731752
 kibar;0,017237497
 sekuler;0,017235362
 denial;0,017228979
 garong;0,01719599
 chuakkkss;0,017195228
 konco;0,017180569
 geninus;0,017169115
 saw;0,017121659
 perkara;0,017092172
 signifikan;0,017079113
 insentif;0,017059877
 oleh;0,017032113
 arang;0,017019868
 benah;0,016945643
 nis;0,016856527
 keras;0,016847797
 ugal;0,016833868
 baim;0,016729334
 miris;0,016713844
 ngumpulin;0,016710775
 gencar;0,016678255
 tertawa;0,016669829
 spt;0,01660703
 liar;0,016582743
 ngap;0,016581532
 mikir;0,016501851
 rasulullah;0,016482222
 ngomongin;0,016465634
 favorit;0,016419855
 asik;0,016416066
 ngulang;0,016406954
 bendera;0,016366143
 allah;0,016344657
 ironis;0,016307449
 ditaxamnesty;0,016258136
 tombokin;0,016191381
 sia;0,016179908
 dijadiin;0,016129065
 tengah;0,016107541
 orde;0,016106517
 biasa;0,016081227
 moral;0,016070925
 cela;0,016062111
 digedein;0,01601665
 nambal;0,01597468
 fraksi;0,015963663
 gataunya;0,015898887
 konglohitam;0,015877589
 mantap;0,015786618
 macem;0,015778062
 tikus;0,015723003
 komponen;0,015720314
 dekat;0,015690072
 doa;0,015559212
 amnesty;0,015438619
 cerita;0,015353228
 penuruna;0,015329772
 anggota;0,01530845
 bakwan;0,015304459
 interaksiumat;0,01529911
 jizyah;0,015288253
 gass;0,015261707
 ga;0,015164579
 gelap;0,015127279
 pasca;0,015104031
 jaya;0,015026318
 tuk;0,014990835
 paja;0,014979143
 udang;0,014824824
 era;0,014775279
 kongklomerat;0,014768293
 lepas;0,014764386
 timbun;0,01474987
 defensif;0,014746802
 sikap;0,014638234
 tetep;0,014624337
 bodoh;0,014563199
 pupuk;0,014562361
 ribu;0,014538684
 takut;0,014500146
 tajuk;0,014478355
 tahu;0,014475489
 diapain;0,014474826
 tari;0,014451161
 kosong;0,014421798
 ngalahin;0,014389174
 sapa;0,014372328
 nih;0,014325255
 lega;0,014320608
 muji;0,014272758
 trus;0,014262236
 kantor;0,014247619
 airlangga;0,014205508
 prestasi;0,014172912
 kolongmerat;0,014154388
 basa;0,014129074
 akhirat;0,014068224
 ngelunjak;0,014062935
 noh;0,014001313
 dll;0,013903984
 hakekatnya;0,01387045
 proyek;0,013868657
 tamanjakan;0,013847091
 imbas;0,013837722
 bang;0,0138283
 ampunn;0,013816035
 diboongin;0,013815839
 ye;0,013812162
 rungkad;0,013794037
 ppnbm;0,013775673
 raksasa;0,013768043
 entu;0,013751488
 juta;0,013687398
 bobrok;0,013659902
 tunggu;0,013654418
 defisit;0,013627545
 prioritas;0,013579455
 syariah;0,01355871
 yaaa;0,013547469
 kyknya;0,013530751
 telan;0,013523158
 baju;0,01350912
 malu;0,013498086
 jokowibencanabagirakyat;0,013497823
 tampil;0,013473698
 arah;0,013419921
 tindas;0,013405561
 misuh;0,013326494
 bagent;0,013307068
 walo;0,013304462
 tentangg;0,013273987
 bilang;0,013272877
 cak;0,013269224
 suudzon;0,013260041
 bangga;0,013206234
 sindikat;0,013178886
 focus;0,013172555
 peduli;0,013161424
 sogok;0,01316061
 pora;0,013147652
 laki;0,01313936
 ngebacot;0,013127637
 kontribusi;0,013098846
 depan;0,013078279
 kendaran;0,01307362
 buat;0,013071342
 jajan;0,013067359
 repot;0,013064028
 uhud;0,013061453
 belagu;0,013059045
 pasif;0,013054242
 laknat;0,013042398
 gakan;0,013022658
 th;0,013004958
 agam;0,012997732
 jumbo;0,012988495
 kokay;0,012918847
 minyak;0,012907614
 jdi;0,012897779
 keruk;0,012879727
 omong;0,012863881
 nunggak;0,012824031
 manis;0,012818382
 ade;0,012797343
 rampok;0,012796472
 neraka;0,012789064
 aamiin;0,012738167
 olok;0,012723827
 sm;0,012712915
 ngumpet;0,01269781
 jlid;0,012694051
 buka;0,012680901
 ikan;0,012679806
 kenatipupks;0,012634406
 bakar;0,012530472
 hasyuk;0,01248586
 anak;0,012444338
 nelyan;0,012426389
 parah;0,012402408
 speechless;0,012390802
 april;0,012383472
 rakyak;0,012379852
 aku;0,012319908
 indo;0,012312931
 dondon;0,012274816
 bahan;0,012263822
 kam;0,012246828
 terhada;0,012235676
 narkoba;0,012198435
 solusi;0,012149791
 ndak;0,012129209
 t;0,012075621
 sejati;0,01206058
 timbang;0,012004726
 kempis;0,01196841
 prokes;0,0119528
 temba;0,011951719
 barat;0,011936285
 bayang;0,01189602
 pengemlang;0,011885205
 kuota;0,011860019
 rang;0,011859203
 dr;0,011858244
 ooo;0,011856153
 susu;0,011813234
 msd;0,011808749
 ikut;0,011793823
 sitiii;0,011782169
 kentut;0,011775103
 ratingnya;0,011759902
 gelar;0,011722829
 syahwat;0,011721925
 mbak;0,01171998
 buzzerp;0,011718868
 asn;0,011711642
 kendara;0,011632041
 hadir;0,011586187
 karayawan;0,011566491
 rakus;0,011564113
 bagong;0,011563263
 belanja;0,011519807
 ooohhh;0,011469991
 patuh;0,011469479
 kirain;0,011422122
 mutaroe;0,011419196
 pajakmemerasrakya;0,011414223
 ting;0,011394637
 vaksin;0,011386371
 dzhalim;0,011382464
 langgar;0,011370586
 mantab;0,01131178
 kdrun;0,011309182
 pemberientah;0,011306615
 dungu;0,011298684
 lokal;0,011294198
 revolusi;0,011272661
 pajakin;0,011248995
 instrumen;0,01124354
 pesta;0,011191431
 yan;0,011155843
 kadrunbusuk;0,01113962
 nyaman;0,011071379
 tanggal;0,011051344
 belit;0,011033062
 simpel;0,011025104
 huat;0,011022691
 tindak;0,010994953
 dibebaslan;0,010904998
 ehhh;0,010897034
 sda;0,010896142
 pecat;0,010819066
 mangap;0,010786371
 undang;0,010772703
 langsung;0,010772263
 mak;0,01069152
 cinta;0,010678357
 kolusi;0,010675994
 kendala;0,010635176
 singkir;0,010551797
 alangkah;0,010542736
 panen;0,010530686
 lagu;0,010517366
 land;0,010515338
 tol;0,010508132
 sue;0,010502175
 rasa;0,010471254
 amat;0,010458026
 kurs;0,010422152
 nangkap;0,010385179
 bansos;0,01036513
 msuk;0,010357501
 indoensia;0,010299762
 ngemis;0,010268018
 patgulipat;0,010253434
 bugis;0,010234732
 wqwqwq;0,010203994
 tuntut;0,010188502
 logika;0,010185266
 janci;0,010180378
 transparan;0,010158794
 tetangga;0,010109164
 awam;0,010064082
 hahahaha;0,010017828
 selundup;0,009993875
 hestek;0,009929084
 kumpeni;0,00991092
 mungkinkahpresidendarktriad;0,009907562
 diadain;0,009893686
 suka;0,009876637
 pera;0,009828344
 monas;0,009823428
 jelasin;0,009740089
 the;0,009725816
 ganti;0,009705263
 htt;0,009666933
 duli;0,009660089
 monggo;0,009652553
 asas;0,00964156
 dusta;0,00959151
 aman;0,009578894
 pinangki;0,00955025
 absurd;0,009509895
 bismillah;0,00950867
 sosial;0,00948257
 perah;0,009476289
 bismilah;0,009470267
 ko;0,009461542
 bu;0,009413217
 warung;0,009411112
 asing;0,009364761
 anomali;0,00925628
 heaven;0,009159218
 bawa;0,009136761
 bapa;0,009104839
 inget;0,00910457
 tetpi;0,00910312
 cangkir;0,00909588
 uda;0,009090774
 diskusi;0,00907951
 telat;0,009061028
 paj;0,009055497
 sistem;0,009042604
 smua;0,008984755
 anggur;0,008984074
 zhalim;0,008921504
 letak;0,008888876
 walah;0,008877532
 obrak;0,008864331
 kudu;0,008831711
 yoo;0,008817899
 akyat;0,008800795
 mobile;0,00880068
 cantum;0,00879506
 raja;0,008780435
 musti;0,008746036
 otot;0,008731183
 kemas;0,008729251
 engga;0,008715625
 tumbang;0,008714756
 dlihat;0,008713868
 tagih;0,008698246
 klasifikasi;0,008685913
 an;0,008635687
 belo;0,008618262
 bom;0,008617922
 ijtima;0,008572677
 oy;0,008569607
 musnah;0,008542062
 pulih;0,008541642
 juwana;0,008533884
 berhala;0,008532764
 syariat;0,008524286
 ngehindarin;0,008469551
 mnjadi;0,008461006
 minum;0,008443626
 yak;0,008382941
 kapolri;0,008361437
 kopi;0,00835831
 laper;0,008356401
 pindah;0,008337307
 angkat;0,008332689
 anjir;0,008299724
 keringa;0,008292809
 dahulu;0,008282893
 bencana;0,008281003
 copras;0,008275773
 hak;0,008251607
 pegawai;0,008245568
 telek;0,008232679
 lapar;0,00821189
 pohon;0,008181708
 ciri;0,008174082
 tipu;0,008133057
 atuh;0,0080947
 pemgecuttt;0,008069678
 royalty;0,008026352
 got;0,008021624
 slogan;0,008000741
 jelata;0,007975156
 ulama;0,007968032
 muka;0,007961783
 tumpuk;0,007954569
 bicara;0,00791311
 duta;0,007872207
 brarti;0,007850649
 derita;0,007838703
 danzo;0,007828797
 adsense;0,007826112
 krena;0,007794032
 perusahaa;0,007784952
 rr;0,007729408
 rekayasa;0,007723151
 berisik;0,007718334
 asiiik;0,007667202
 murah;0,007665411
 dib;0,007663409
 yahh;0,007631485
 stnk;0,007617341
 kemarin;0,007612807
 seret;0,00758492
 hutan;0,007583995
 buwat;0,007582988
 perasr;0,007572982
 roket;0,007567367
 dikurangi;0,007516719
 ntar;0,00751227
 sambut;0,007490783
 rekening;0,007464957
 arti;0,007439794
 lindung;0,007398449
 naro;0,007393301
 hina;0,007387931
 senyum;0,007384128
 sapu;0,007378875
 repatriasi;0,007362538
 pionir;0,0073485
 sapi;0,007342258
 bal;0,007316044
 pinginnya;0,007289953
 kontrak;0,007287449
 tolong;0,007274713
 citra;0,007221479
 lol;0,007165604
 sesat;0,007119377
 ajar;0,007114432
 alam;0,007108037
 minggir;0,007102458
 republik;0,007094098
 tiga;0,007087193
 badut;0,007086421
 jadi;0,007061997
 tarif;0,007061976
 heboh;0,007060765
 paraah;0,007029493
 hatinuran;0,007027353
 darah;0,006998205
 akal;0,006952189
 total;0,006951517
 busuk;0,006950304
 amanatinstitute;0,006855272
 takar;0,006852874
 budaya;0,006825272
 online;0,006814619
 tar;0,006807477
 alir;0,006801761
 megawati;0,006795333
 yahudi;0,006791349
 ndang;0,006787876
 ngakak;0,006787036
 parelmenmya;0,006734719
 aniaya;0,006721857
 agama;0,006714576
 bongkar;0,006697122
 cilakanya;0,006662866
 daging;0,006659932
 konsekuensi;0,006629402
 retail;0,006625559
 esemkah;0,006620598
 isi;0,006618022
 tebar;0,006613977
 kemntrian;0,006572389
 lenggang;0,006550332
 oramg;0,0065438
 usung;0,006532376
 ribawi;0,006531082
 iring;0,006499336
 kiri;0,006491955
 sayap;0,006491383
 anggar;0,006450849
 golong;0,006441449
 saat;0,006437895
 caperes;0,006351801
 rebah;0,006350016
 stuck;0,006346798
 mem;0,006335166
 mo;0,006314374
 bumn;0,006309346
 kumat;0,00630591
 kapitalisme;0,00627463
 rebubtrlyun;0,006265023
 pajakperasr;0,006248343
 kalee;0,00622752
 butuh;0,006218382
 dibanyakin;0,006215122
 sehat;0,006200411
 pr;0,006194805
 beatles;0,006168882
 cukai;0,006157896
 kenyang;0,006146247
 kanan;0,006136307
 smeentara;0,006121293
 do;0,006115523
 juang;0,006087556
 id;0,00606631
 taxman;0,006042224
 cocot;0,006004477
 cukon;0,005976409
 beneran;0,005934874
 darimana;0,005929375
 panggil;0,005928203
 sedikit;0,005927228
 tampak;0,005906521
 pajaktuh;0,005901315
 daya;0,005879828
 korupt;0,005878508
 ngempalang;0,005866001
 sj;0,005769745
 bahasa;0,005754454
 persentase;0,005733834
 gaya;0,005725375
 tirto;0,005711196
 tabung;0,005705202
 bunuh;0,005685856
 jaman;0,00567645
 putar;0,005665907
 sentuh;0,005664781
 gue;0,005659959
 sukamta;0,00562975
 kebija;0,005612946
